,mice_F,mice_F 95% CI,mice_M,mice_M 95% CI,yeast,yeast 95% CI,celegans,celegans 95% CI,ecoli,ecoli 95% CI,drosophila_853,drosophila_853 95% CI,drosophila_707,drosophila_707 95% CI,drosophila_441,drosophila_441 95% CI,drosophila_217,drosophila_217 95% CI,Sweden_M_1910_hetro,Sweden_M_1910_hetro 95% CI,Sweden_F_1910_homo,Sweden_F_1910_homo 95% CI,Sweden_F_1910_hetro,Sweden_F_1910_hetro 95% CI,Denmark_M_1900_hetro,Denmark_M_1900_hetro 95% CI,Denmark_M_1900_homo,Denmark_M_1900_homo 95% CI,Denmark_M_1890_hetro,Denmark_M_1890_hetro 95% CI,Denmark_M_1890_homo,Denmark_M_1890_homo 95% CI,Denmark_F_1900_hetro,Denmark_F_1900_hetro 95% CI,Denmark_F_1890_hetro,Denmark_F_1890_hetro 95% CI,Staffy_vetCompass,Staffy_vetCompass 95% CI,Labradors_vetCompass,Labradors_vetCompass 95% CI,Jack_Russell_vetCompass,Jack_Russell_vetCompass 95% CI,German_Shepherd_vetCompass,German_Shepherd_vetCompass 95% CI,Guiniea_pig_VC,Guiniea_pig_VC 95% CI,cats_BPH,cats_BPH 95% CI,combined_human_F,combined_human_F 95% CI,combined_human_M,combined_human_M 95% CI,cats_vp_M,cats_vp_M 95% CI,cats_vp_F,cats_vp_F 95% CI
xc/eta,40833.909,"[31291.196, 74773.12]",147851.555,"[112677.985, 184654.787]",8.195,"[8.163, 9.015]",98.0,"[58.57, 110.966]",0.0429,"[0.0386, 0.0821]",8.02,"[6.989, 43.01]",369.203,"[227.956, 401.21]",595.804,"[314.856, 926.547]",596.01,"[524.325, 617.208]",3325056.174,"[3228661.759, 3424328.525]",335915.11,"[330730.038, 341181.471]",365868.578,"[357804.354, 374114.554]",1409826.516,"[1378941.973, 1441402.789]",673775.535,"[658147.006, 689775.182]",547635.656,"[532866.697, 562813.952]",1310704.176,"[1284864.423, 1337063.59]",754938.527,"[736547.649, 773788.607]",830742.121,"[807536.924, 854614.137]",96640.667,"[58847.179, 266862.299]",268976.657,"[137967.21, 446753.547]",199543.737,"[48463.583, 1431163.143]",2884668.88,"[1136445.25, 5711683.058]",339261.093,"[171453.702, 552381.587]",770410.619,"[586188.93, 3685204.602]",912855.394,"[886369.887, 940132.311]",919654.343,"[836867.44, 949031.463]",574034.186,"[387329.235, 850736.833]",267851.417,"[261032.751, 770993.618]"
beta/eta,874.45,"[697.221, 991.704]",468.166,"[374.416, 585.39]",0.247,"[0.0137, 0.308]",6.522,"[5.604, 9.678]",7.721,"[6.281, 7.815]",102.777,"[59.638, 110.338]",5.196,"[0.212, 10.384]",25.542,"[13.906, 34.161]",0.603,"[0.0171, 3.803]",35650.165,"[35505.268, 35795.654]",68836.318,"[68246.566, 69431.165]",42601.663,"[42400.201, 42804.082]",37122.572,"[36968.216, 37277.573]",55627.555,"[54824.444, 56442.43]",42044.66,"[41756.878, 42334.426]",52533.093,"[52030.854, 53040.181]",40182.759,"[39985.387, 40381.105]",41265.471,"[41036.492, 41495.729]",10025.583,"[6061.708, 20278.233]",6814.717,"[5162.795, 7203.779]",8657.755,"[5602.156, 34261.29]",2513.934,"[1482.26, 4263.668]",2683.418,"[2001.086, 3598.41]",8688.469,"[4475.691, 8845.64]",40773.234,"[40535.425, 41012.438]",39576.404,"[39274.051, 40497.503]",10727.393,"[5824.601, 11899.615]",11837.63,"[4968.423, 13077.73]"
xc^2/epsilon,607.108,"[397.289, 1230.83]",1732.535,"[1196.257, 2238.953]",15.568,"[15.273, 16.721]",197.255,"[93.233, 233.625]",0.0844,"[0.0825, 0.166]",1.516,"[1.381, 8.891]",126.992,"[81.18, 138.88]",334.52,"[136.543, 603.521]",472.371,"[405.382, 514.259]",2142.065,"[2099.826, 2185.154]",149.888,"[147.501, 152.313]",338.699,"[332.298, 345.224]",801.652,"[785.751, 817.876]",226.008,"[220.283, 231.882]",401.045,"[392.398, 409.884]",441.129,"[432.571, 449.856]",485.475,"[474.14, 497.081]",504.12,"[494.068, 514.376]",158.032,"[92.462, 470.256]",342.933,"[331.99, 1214.811]",146.955,"[74.846, 4287.938]",10612.686,"[3187.081, 27945.988]",760.991,"[330.111, 1256.061]",796.699,"[584.825, 4951.088]",520.054,"[507.375, 533.051]",567.076,"[553.755, 608.995]",515.295,"[318.042, 924.162]",317.062,"[224.941, 842.238]"
xc,30.72,"[11.895, 247.719]",43.722,"[30.568, 1186.249]",6139.051,"[2667.026, 12943.813]",43.416,"[14.759, 277.715]",4.275,"[3.144, 7.638]",3.741,"[2.338, 25.607]",1013.268,"[41.777, 26885.351]",406.701,"[70.428, 1877.535]",4331.645,"[197.305, 49871.4]",14.087,"[13.655, 14.534]",2.759,"[2.682, 2.838]",6.159,"[5.984, 6.338]",29.925,"[28.888, 30.999]",9.597,"[9.247, 9.96]",6.134,"[5.918, 6.359]",8.009,"[7.788, 8.235]",16.37,"[15.902, 16.852]",12.88,"[12.453, 13.321]",6.112,"[0.679, 62.698]",13.864,"[8.972, 82.225]",7.654,"[0.419, 68.324]",313.914,"[24.918, 1573.974]",73.038,"[8.332, 418.281]",21.579,"[15.181, 273.661]",13.778,"[13.321, 14.25]",12.379,"[10.911, 12.911]",18.636,"[14.369, 24.169]",5.304,"[3.222, 59.354]"
eta,0.00228,"[0.000156, 0.00476]",0.0012,"[0.000155, 0.00798]",763.492,"[730.316, 798.176]",3.161,"[0.104, 9.019]",100.971,"[74.214, 116.139]",0.418,"[0.172, 0.857]",3.824,"[0.0806, 61.954]",1.267,"[0.106, 2.457]",4.72,"[0.119, 88.979]",4.18e-06,"[4.07e-06, 4.29e-06]",8.27e-06,"[8.04e-06, 8.51e-06]",1.67e-05,"[1.63e-05, 1.71e-05]",2.14e-05,"[2.08e-05, 2.2e-05]",1.43e-05,"[1.37e-05, 1.48e-05]",1.13e-05,"[1.09e-05, 1.16e-05]",8.57e-06,"[8.36e-06, 8.8e-06]",2.12e-05,"[2.06e-05, 2.18e-05]",1.59e-05,"[1.54e-05, 1.64e-05]",0.000102,"[7.2e-06, 0.000179]",9.3e-05,"[4.48e-05, 0.000193]",7.39e-05,"[7.28e-06, 0.000108]",0.000182,"[1e-05, 0.00051]",0.000293,"[2.29e-05, 0.00113]",8.22e-06,"[7.92e-06, 8.54e-06]",1.55e-05,"[1.5e-05, 1.6e-05]",1.59e-05,"[1.54e-05, 1.74e-05]",3.28e-05,"[2.89e-05, 4.79e-05]",1.92e-05,"[8.08e-06, 9.85e-05]"
beta,1.77,"[0.187, 3.341]",0.517,"[0.072, 3.341]",194.169,"[179.513, 210.021]",19.957,"[7.684, 111.21]",788.42,"[504.591, 805.354]",48.061,"[16.215, 50.196]",5.073,"[0.273, 50.196]",28.638,"[2.666, 50.195]",0.816,"[0.0271, 50.196]",0.15,"[0.147, 0.154]",0.563,"[0.551, 0.575]",0.721,"[0.706, 0.736]",0.807,"[0.786, 0.828]",0.786,"[0.76, 0.813]",0.468,"[0.456, 0.479]",0.489,"[0.479, 0.499]",0.848,"[0.827, 0.87]",0.637,"[0.619, 0.655]",0.777,"[0.156, 1.142]",0.63,"[0.299, 1.049]",0.705,"[0.106, 1.142]",0.423,"[0.0242, 1.141]",1.886,"[0.0648, 2.742]",0.0725,"[0.0703, 0.0747]",0.674,"[0.619, 0.693]",0.657,"[0.608, 0.674]",0.34,"[0.143, 0.554]",0.227,"[0.138, 0.965]"
epsilon,14.801,"[0.0795, 84.501]",10.444,"[0.351, 1097.238]",2419530.619,"[2214713.677, 2643289.052]",422.062,"[0.646, 2723.794]",238.396,"[139.501, 516.957]",8.745,"[2.333, 112.533]",7697.876,"[3.688, 2659926.484]",1298.774,"[9.764, 6014.946]",390906.247,"[9.76, 6230995.089]",0.0864,"[0.0811, 0.0921]",0.0528,"[0.05, 0.0557]",0.121,"[0.114, 0.128]",1.212,"[1.134, 1.295]",0.382,"[0.354, 0.413]",0.0922,"[0.0857, 0.0993]",0.228,"[0.216, 0.241]",0.532,"[0.501, 0.565]",0.368,"[0.343, 0.395]",0.318,"[0.00319, 7.261]",0.557,"[0.0841, 5.128]",0.291,"[0.0041, 4.859]",21.571,"[0.0818, 228.984]",26.209,"[0.0789, 204.444]",0.0456,"[0.0421, 0.0493]",0.368,"[0.297, 0.395]",0.347,"[0.273, 0.376]",0.714,"[0.41, 1.061]",0.0834,"[0.0402, 15.702]"
sqrt(xc/eta),239.372,"[181.226, 280.144]",394.13,"[335.675, 440.46]",2.863,"[2.857, 3.002]",9.386,"[7.386, 10.534]",0.207,"[0.197, 0.286]",2.832,"[2.644, 6.741]",19.215,"[15.098, 19.7]",24.409,"[17.744, 29.945]",24.413,"[22.898, 24.844]",1823.474,"[1796.848, 1850.494]",579.582,"[575.091, 584.107]",604.871,"[598.167, 611.649]",1187.361,"[1174.284, 1200.584]",820.838,"[811.263, 830.527]",740.024,"[729.977, 750.209]",976.278,"[966.606, 986.046]",868.872,"[858.224, 879.653]",911.451,"[898.631, 924.453]",310.871,"[242.584, 516.587]",518.63,"[371.439, 668.396]",446.703,"[226.339, 1196.312]",1698.431,"[1066.042, 2389.913]",563.837,"[414.07, 743.224]",877.73,"[765.63, 1919.689]",955.435,"[941.472, 969.604]",958.986,"[914.805, 974.182]",757.65,"[622.358, 922.354]",517.544,"[510.914, 878.062]"
s= eta^0.5*xc^1.5/epsilon,3.595,"[2.193, 4.486]",4.336,"[3.587, 5.242]",5.436,"[5.405, 5.575]",18.25,"[12.185, 22.516]",0.412,"[0.37, 0.587]",0.536,"[0.506, 1.435]",6.483,"[5.308, 7.117]",13.979,"[7.834, 20.035]",18.961,"[16.909, 20.728]",1.198,"[1.182, 1.215]",0.258,"[0.255, 0.26]",0.582,"[0.572, 0.592]",0.678,"[0.67, 0.686]",0.271,"[0.267, 0.276]",0.535,"[0.525, 0.546]",0.323,"[0.319, 0.327]",0.555,"[0.546, 0.563]",0.551,"[0.542, 0.56]",0.436,"[0.383, 0.938]",0.877,"[0.86, 1.788]",0.373,"[0.279, 1.245]",6.498,"[2.922, 11.151]",1.285,"[0.795, 1.738]",0.911,"[0.766, 2.616]",0.572,"[0.561, 0.582]",0.535,"[0.525, 0.568]",0.659,"[0.527, 3.742]",0.632,"[0.544, 1.094]"
beta*xc/epsilon,12.154,"[11.359, 13.605]",5.298,"[4.276, 6.175]",0.474,"[0.0248, 0.595]",12.906,"[11.805, 16.864]",15.454,"[11.493, 15.624]",19.099,"[12.301, 21.443]",1.838,"[0.0765, 3.679]",13.137,"[8.541, 14.319]",0.308,"[0.0141, 2.823]",24.139,"[23.672, 24.615]",30.232,"[29.84, 30.629]",41.209,"[40.396, 42.039]",21.571,"[21.359, 21.785]",18.431,"[18.183, 18.682]",29.792,"[28.963, 30.644]",18.395,"[18.202, 18.59]",25.773,"[25.362, 26.191]",24.771,"[24.292, 25.26]",16.106,"[10.032, 30.087]",15.491,"[13.258, 15.762]",13.151,"[10.71, 36.712]",9.552,"[6.73, 11.2]",5.894,"[4.541, 7.101]",9.188,"[6.207, 9.598]",22.994,"[21.601, 23.478]",24.568,"[23.873, 25.282]",9.527,"[6.787, 10.144]",14.289,"[9.722, 14.51]"
