,Sweden_F_1910_homo,Denmark_M_1900_homo,Denmark_M_1890_homo,mice_F,mice_M,yeast,celegans,ecoli,cats_BPH,drosophila_853,drosophila_707,drosophila_441,drosophila_217,Sweden_M_1910_hetro,Sweden_F_1910_hetro,Denmark_M_1900_hetro,Denmark_M_1890_hetro,Denmark_F_1900_hetro,Denmark_F_1890_hetro,Staffy_vetCompass,Labradors_vetCompass,Jack_Russell_vetCompass,German_Shepherd_vetCompass,Guiniea_pig_VC,cats_vp_M,cats_vp_F,combined_human_F,combined_human_M,drosophila_M22_25deg,Wdah_chronic2,Wdah_chronic,Wdah_control,drosophila_136,drosophila_195,drosophila_105
xc/eta,335189.193,662841.064,1295169.394,40906.477,126957.772,8.194,98.12,0.0434,770862.68,7.924,299.784,369.433,554.274,3239025.536,359816.855,1384622.18,561380.481,746962.854,852108.859,264566.834,148179.2,20619.31,1233179.453,396461.039,569232.904,270076.119,860652.829,556069.234,424.744,83.585,76.556,365.813,281.689,602.651,956.482
beta/eta,68668.499,55698.103,52470.412,867.423,538.72,0.249,6.411,7.778,8728.316,101.488,3.744,29.285,1.403,35785.825,42604.247,37071.638,41941.916,40268.864,41141.599,7013.293,6746.79,33148.047,3620.366,2368.411,10710.349,11769.972,41253.045,42080.554,0.331,89.301,90.201,58.546,30.848,0.406,20.321
xc^2/epsilon,148.085,221.602,443.828,596.391,1396.629,15.555,195.793,0.0859,800.107,1.519,111.104,174.09,431.02,2154.749,345.086,803.924,402.789,485.315,503.858,451.516,342.86,41.769,3559.502,886.877,503.158,325.284,495.004,406.542,135.387,15.753,17.72,94.186,152.349,556.306,226.663
xc,2.732,9.473,8.146,29.7,42.637,6101.382,44.248,4.408,21.575,3.678,197.03,406.44,3158.555,13.662,6.326,30.275,6.154,15.961,13.203,29.48,14.203,0.443,195.835,458.389,18.533,5.108,12.88,6.315,4214.33,35.011,37.697,131.241,288.148,52.738,1769.877
eta,8.15E-06,1.43E-05,8.79E-06,0.00222,0.000171,744.612,3.056,101.629,7.96E-06,0.422,0.195,1.726,0.47,4.22E-06,1.66E-05,2.19E-05,1.10E-05,2.14E-05,1.55E-05,0.000111,9.58E-05,2.15E-05,7.56E-05,3.95E-05,3.26E-05,1.89E-05,1.55E-05,1.09E-05,9.922,0.419,0.492,0.0255,0.428,7.283,0.103
beta,0.56,0.796,0.482,1.77,0.0813,185.408,20.921,790.473,0.0746,42.756,1.669,36.029,0.158,0.151,0.717,0.811,0.46,0.86,0.637,0.781,0.647,0.713,0.224,0.108,0.349,0.223,0.637,0.458,3.284,37.405,44.416,1.428,11.727,1.499,1.614
epsilon,0.0504,0.405,0.221,15.566,0.399,2393175.047,431.04,226.235,0.0476,7.76,25.586,3252.286,154.881,0.0866,0.125,1.14,0.094,0.525,0.346,1.925,0.588,0.0047,3.275,0.239,0.683,0.0802,0.368,0.0956,131183.41,77.812,80.195,1.225,120.206,34356.524,50.509
sqrt(xc/eta),578.955,814.151,975.849,236.949,386.237,2.863,9.441,0.208,877.988,2.815,17.314,19.221,24.507,1799.729,599.847,1176.7,749.253,864.27,923.097,514.361,384.941,143.594,1059.523,584.688,754.475,519.688,927.714,745.7,20.609,9.142,8.75,19.126,15.688,24.549,30.927
s= eta^0.5*xc^1.5/epsilon,0.256,0.272,0.326,3.629,4.369,5.434,18.229,0.412,0.911,0.54,6.417,9.057,19.239,1.197,0.575,0.683,0.538,0.562,0.546,0.878,0.891,0.291,2.906,1.306,0.667,0.626,0.551,0.535,6.569,1.723,2.025,4.924,7.944,22.661,7.329
beta*xc/epsilon,30.337,18.621,18.308,11.943,5.408,0.473,13.219,15.401,9.059,19.452,1.388,13.8,0.0573,23.806,40.86,21.524,30.093,26.163,24.327,11.969,15.611,67.148,10.249,6.109,9.467,14.176,23.972,30.904,0.105,16.83,20.879,15.074,16.59,0.374,4.816
