,Killifish,Killifish 95% CI,drosophila_M22_25deg,drosophila_M22_25deg 95% CI,Wdah_chronic2,Wdah_chronic2 95% CI,Wdah_chronic,Wdah_chronic 95% CI,drosophila_136,drosophila_136 95% CI,drosophila_195,drosophila_195 95% CI,drosophila_105,drosophila_105 95% CI,Wdah_control,Wdah_control 95% CI,smurfs_195,smurfs_195 95% CI,smurfs_136,smurfs_136 95% CI,smurfs_105,smurfs_105 95% CI,smurfs_91,smurfs_91 95% CI,smurfs_88,smurfs_88 95% CI,smurfs_83,smurfs_83 95% CI
xc/eta,10020.453,"[6837.661, 12779.412]",427.519,"[402.74, 443.113]",83.679,"[70.132, 179.878]",88.285,"[73.734, 226.134]",279.734,"[185.688, 699.907]",592.108,"[510.926, 621.94]",1750.858,"[953.662, 1891.614]",867.855,"[327.633, 2378.762]",83.519,"[47.921, 181.785]",67.012,"[31.252, 228.602]",51.471,"[50.18, 138.653]",29.289,"[28.563, 34.919]",125.051,"[78.952, 533.326]",60.511,"[5.425, 226.164]"
beta/eta,8.06,"[1.238, 40.88]",0.328,"[0.0599, 1.184]",88.47,"[79.892, 92.423]",90.756,"[76.411, 95.116]",31.137,"[17.216, 37.936]",0.406,"[0.0463, 4.169]",16.104,"[0.749, 24.685]",54.958,"[17.129, 68.665]",28.366,"[18.847, 32.507]",52.429,"[36.539, 69.428]",55.56,"[46.872, 61.528]",57.069,"[45.232, 67.377]",32.055,"[12.178, 40.362]",41.173,"[26.751, 193.457]"
xc^2/epsilon,559.948,"[386.558, 758.263]",134.302,"[124.853, 144.467]",15.857,"[12.614, 40.425]",20.658,"[14.609, 48.561]",156.585,"[90.653, 571.394]",566.913,"[466.314, 631.9]",422.232,"[224.758, 468.123]",241.066,"[81.431, 1074.842]",35.034,"[17.276, 86.948]",17.254,"[7.826, 122.703]",22.658,"[13.675, 47.612]",8.68,"[7.617, 10.984]",30.126,"[19.052, 166.952]",13.656,"[1.282, 81.109]"
xc,1259.596,"[7.552, 3024.112]",4268.876,"[59.349, 4900.196]",37.084,"[22.7, 70.457]",37.988,"[14.655, 98.468]",291.304,"[36.54, 1313.51]",8665.315,"[273.267, 62873.932]",1793.532,"[206.536, 42837.11]",194.863,"[23.82, 2671.223]",63.344,"[13.881, 263.649]",40.548,"[13.349, 132.968]",56.189,"[14.667, 155.437]",20.32,"[6.713, 384.684]",91.703,"[9.599, 728.669]",3.538,"[0.28, 134.95]"
eta,0.123,"[0.000188, 0.315]",9.714,"[0.0521, 26.597]",0.413,"[0.236, 0.577]",0.478,"[0.118, 0.623]",0.412,"[0.0573, 2.33]",7.262,"[0.156, 176.94]",1.736,"[0.0502, 34.043]",0.494,"[0.0178, 1.46]",1.452,"[0.105, 1.945]",0.67,"[0.17, 1.091]",0.302,"[0.263, 0.965]",0.721,"[0.368, 1.029]",0.857,"[0.0339, 2.247]",0.27,"[0.0106, 1.33]"
beta,0.145,"[0.00103, 5.483]",3.429,"[0.00526, 15.158]",38.646,"[22.068, 50.196]",44.966,"[10.758, 50.196]",14.563,"[1.541, 50.196]",1.495,"[0.106, 50.196]",15.657,"[0.305, 50.196]",44.895,"[0.779, 50.196]",38.827,"[2.733, 50.195]",44.419,"[9.064, 50.196]",16.865,"[14.796, 50.194]",42.854,"[19.435, 50.196]",34.241,"[0.806, 50.196]",18.866,"[1.27, 50.195]"
epsilon,5350.185,"[0.00866, 18961.329]",133932.531,"[2.892, 766597.046]",72.291,"[31.188, 195.235]",44.099,"[7.171, 202.797]",116.626,"[2.642, 4350.537]",31711.155,"[15.962, 21013527.761]",7918.078,"[15.793, 12088898.907]",301.278,"[0.732, 5467.646]",132.018,"[2.849, 1135.414]",23.797,"[8.343, 399.997]",15.368,"[10.193, 230.911]",48.98,"[20.466, 188.675]",291.462,"[0.935, 4424.573]",1.188,"[0.0111, 495.738]"
sqrt(xc/eta),100.102,"[82.69, 113.046]",20.677,"[20.068, 21.05]",9.148,"[8.374, 13.412]",9.396,"[8.587, 15.038]",20.73,"[14.169, 27.509]",24.333,"[22.604, 24.939]",41.843,"[30.881, 43.493]",29.459,"[18.101, 47.946]",9.842,"[6.922, 13.483]",8.186,"[5.779, 16.156]",7.174,"[7.084, 11.775]",5.412,"[5.344, 5.909]",11.183,"[8.577, 22.291]",7.779,"[2.405, 15.039]"
s= eta^0.5*xc^1.5/epsilon,5.673,"[4.31, 7.466]",6.606,"[6.243, 6.991]",1.746,"[1.479, 2.705]",2.026,"[1.785, 3.68]",12.92,"[6.447, 21.228]",22.589,"[19.716, 25.109]",9.881,"[7.242, 11.214]",9.988,"[4.589, 22.413]",4.145,"[2.532, 6.786]",2.584,"[1.357, 7.674]",2.512,"[1.958, 4.628]",1.636,"[1.603, 1.968]",2.845,"[2.025, 7.104]",2.049,"[0.556, 5.167]"
beta*xc/epsilon,0.463,"[0.0714, 2.754]",0.108,"[0.0238, 0.395]",16.566,"[15.092, 17.518]",20.171,"[18.352, 22.169]",16.026,"[11.919, 17.373]",0.601,"[0.0485, 4.258]",3.121,"[0.181, 5.907]",14.544,"[7.727, 16.393]",10.67,"[8.852, 12.862]",14.627,"[12.44, 16.12]",16.466,"[14.836, 18.276]",17.545,"[15.914, 19.342]",8.126,"[3.854, 9.959]",13.379,"[10.009, 53.525]"
eta*xc/epsilon,0.0561,"[0.043, 0.0777]",0.316,"[0.3, 0.339]",0.188,"[0.167, 0.202]",0.224,"[0.204, 0.274]",0.635,"[0.453, 0.774]",0.947,"[0.844, 1.035]",0.241,"[0.226, 0.273]",0.306,"[0.244, 0.466]",0.406,"[0.34, 0.56]",0.277,"[0.226, 0.361]",0.295,"[0.269, 0.348]",0.296,"[0.282, 0.301]",0.27,"[0.208, 0.377]",0.295,"[0.225, 0.436]"
