,Killifish,drosophila_M22_25deg,Wdah_chronic2,Wdah_chronic,drosophila_136,drosophila_195,drosophila_105,Wdah_control,smurfs_195,smurfs_136,smurfs_105,smurfs_91,smurfs_88,smurfs_83
xc/eta,10572.769,424.744,83.585,76.556,281.689,602.651,956.482,365.813,48.054,69.812,74.671,29.34,84.815,201.981
beta/eta,4.009,0.331,89.301,90.201,30.848,0.406,20.321,58.546,33.527,53.724,54.971,57.181,38.342,27.817
xc^2/epsilon,605.797,135.387,15.753,17.72,152.349,556.306,226.663,94.186,17.773,20.772,22.17,8.805,19.375,87.637
xc,4.336,4214.33,35.011,37.697,288.148,52.738,1769.877,131.241,21.767,17.983,57.402,21.026,90.763,160.156
eta,0.00041,9.922,0.419,0.492,0.428,7.283,0.103,0.0255,1.371,0.258,0.29,0.717,0.887,0.793
beta,0.00164,3.284,37.405,44.416,11.727,1.499,1.614,1.428,42.207,13.839,17.479,40.979,31.834,22.057
epsilon,0.031,131183.41,77.812,80.195,120.206,34356.524,50.509,1.225,315.325,15.568,14.257,50.212,279.903,292.685
sqrt(xc/eta),102.679,20.609,9.142,8.75,15.688,24.549,30.927,19.126,6.932,8.355,8.641,5.417,9.6,14.212
s= eta^0.5*xc^1.5/epsilon,6.35,6.569,1.723,2.025,7.944,22.661,7.329,4.924,2.564,2.486,2.566,1.626,2.379,6.166
beta*xc/epsilon,0.0841,0.105,16.83,20.879,16.59,0.374,4.816,15.074,12.4,15.985,16.321,17.16,8.966,12.069
eta*xc/epsilon,0.0618,0.319,0.188,0.226,0.65,0.923,0.233,0.272,0.37,0.298,0.297,0.3,0.228,0.314
Fx=beta^2/eta*xc,0.000175,0.000258,95.407,87.959,1.0,0.000273,0.146,6.663,23.391,41.343,40.468,111.442,16.703,21.247
Dx =beta*epsilon/eta*xc^2,0.00208,0.00244,5.669,4.386,0.069,0.000729,0.0467,0.446,1.886,2.586,2.479,6.494,1.922,1.693
Pk=beta*k/epsilon,0.0265,1.25e-05,0.24,0.277,0.505,2.18e-05,0.016,0.0574,0.282,0.444,0.613,0.408,0.0609,0.0377
Fk=beta^2/eta*k,0.0132,2.174,6680.543,8012.759,26.462,0.617,50.801,2459.387,910.329,1486.934,2104.669,4686.413,2382.375,1227.083
Dk =beta*epsilon/eta*k^2,19.907,173662.9,27794.521,28934.774,52.4,28292.814,65259.42,42825.539,3575.014,3345.43,3433.433,11484.597,39105.241,32566.153
Fk^2/Dk=beta^3/eta*epsilon,1.47e-05,2.72e-05,1605.699,2218.932,13.363,1.35e-05,0.0972,141.238,290.038,660.893,1290.146,1912.341,145.139,46.236
epsilon/beta^2,11480.331,12165.762,0.0556,0.0407,1.335,15280.653,25.234,0.439,0.116,0.0813,0.0467,0.0299,0.262,0.602
k/beta,304.073,0.152,0.0134,0.0113,0.204,0.333,0.027,0.0108,0.0329,0.0361,0.0286,0.0122,0.016,0.0227
k^2/epsilon,8.054,1.91e-06,0.00321,0.00312,0.0313,7.28e-06,2.88e-05,0.000265,0.00938,0.0161,0.0175,0.00498,0.000974,0.000854
eta/xc,9.46e-05,0.00235,0.012,0.0131,0.00355,0.00166,0.00105,0.00273,0.0208,0.0143,0.0134,0.0341,0.0118,0.0133
beta/xc,0.000379,0.000779,1.068,1.178,0.11,0.000673,0.0212,0.16,0.698,0.77,0.736,1.949,0.452,0.532
epsilon/xc^2,0.00165,0.00739,0.0635,0.0564,0.00656,0.0018,0.00441,0.0106,0.0563,0.0481,0.0451,0.114,0.0516,0.0424
k/xc,0.115,0.000119,0.0143,0.0133,0.00174,0.00948,0.000283,0.00381,0.023,0.0278,0.00871,0.0238,0.00551,0.00761
best fit no ext hazard_MedianLifetime,,,,,,,,,,,,,,
best fit no ext hazard_MaxLifetime,,,,,,,,,,,,,,
best fit_MedianLifetime,,,,,,,,,,,,,,
best fit_MaxLifetime,,,,,,,,,,,,,,
data_MedianLifetime,,,,,,,,,,,,,,
data_MaxLifetime,,,,,,,,,,,,,,
ML_lnprob,-510.65894099422235,-5330.205356952376,-1517.127991066673,-1341.9137004768656,-3597.4853389090435,-1908.181286539202,-3203.0567306669295,-1902.5196869413653,-746.8409017348683,-753.1972942069295,-902.2873072606452,-985.2029936182588,-432.1788369662812,-379.093364335595
